title;creators;translator;isbn13;isbn10;publisher;country;continent;language;type;group;labels;status;library
Εμείς οι Ζωντανοί;Ayn Rand;;9789607213877;9607213874;Ωκεανίδα;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Το Βασίλειο του Χρυσού Δράκοντα;Isabel Allende;;9789604103102;9604103105;Ωκεανίδα;Chile;South America;Greek;novel;;;Read;Piraeus Library
Γιούγκερμαν (3τομο);Μ.Καραγάτσης;;;;Real News;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Σέργιος και Βάκχος;Μ.Καραγάτσης;;;;Δίρφος;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αμρί α Μούγκου;Μ.Καραγάτσης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Θησαυροί του Βασιλιά Σολομώντα;Henry Rider Haggard;;9789600306552;9600306559;Καστανιώτης;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Ανάσταση;Leo Tolstoy;;;;Μαρής;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Mοναδική, H/ ’δραξε τη μέρα;Saul Bellow;;9789600336122;9600336121;Καστανιώτης;Canada;North America;Greek;novel;;;Read;Piraeus Library
Αντίχριστος/Το Λυκόφως των Ειδώλων;Friedrich Nietzsche;;9789603829201;;Κάκτος;Germany;Europe;Greek;philosophy;;;Read;Piraeus Library
Δεύτερο Φύλο, Το;Simone de Beauvoir;;;;Κυψέλη;France;Europe;Greek;philosophy;;;Read;Piraeus Library
Τροπικός του Καρκίνου, Ο;Henry Miller;;9789605030391;;Alter - Ego;United States;North America;Greek;novel;;;Read;Piraeus Library
Μεγάλη Χίμαιρα, Η;Μ.Καραγάτσης;;9789600510126;9600510121;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Συνταγματάρχης Λιάπκιν, Ο;Μ.Καραγάτσης;;9789600500851;9600500851;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Τρίτο Στεφάνι, Το;Κώστας Ταχτσής;;;;Ερμής;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Πάθος για Δημιουργία;Petra Durst - Benning;;9789608196988;9608196981;Εμπειρία Εκδοτική ;Germany;Europe;Greek;novel;;;Read;Piraeus Library
Νεκροί, Οι;Christian Kracht;;9789605697662;978960569766;Παπαδόπουλος;Switzerland;Europe;Greek;novel;;;Read;Piraeus Library
Τα Νεανικά μου Χρόνια;Winston Churchill;;;;Πάπυρος;United Kingdom;Europe;Greek;history;;;Read;Piraeus Library
Βιβλίο Παππού;;;;;;;;Greek;handwriting ;;;Read;Aigio Library (Personal)
Το 10 - Τόμος Α΄;Μ.Καραγάτσης;;;;Real News;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Το 10 - Τόμος B΄;Μ.Καραγάτσης;;;;Real News;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 3;Ανδρέας Εμπειρίκος;;9789603250173;;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 2;Ανδρέας Εμπειρίκος;;9789603250166;9603250163;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 1;Ανδρέας Εμπειρίκος;;9789603250159;9603250155;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 4;Ανδρέας Εμπειρίκος;;9789603250180;;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 6;Ανδρέας Εμπειρίκος;;9789603250203;;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 5;Ανδρέας Εμπειρίκος;;9789603250197;9603250198;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 7;Ανδρέας Εμπειρίκος;;9789603250210;960325021X;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
’κου Ανθρωπάκο;Wilhelm Reich;;9789602358337;9602358335;Γνώση;Austria;Europe;Greek;philosophy;;;Read;Piraeus Library
Ο Μέγας Ανατολικός 8;Ανδρέας Εμπειρίκος;;9789603250227;;’γρα;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Όταν Σκοτώνουν τα Κοτσύφια;Harper Lee;;9789606204067;9606204065;Bell;United States;North America;Greek;novel;;;Read;Piraeus Library
Nούμερο 31328, To;Ηλίας Βενέζης;;9789600510119;9600510113;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Φωτιά και Τσεκούρι;Ευάγγελος Αβέρωφ-Τοσίτσας;;9789600514766;9600514763;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;history;;;Read;Piraeus Library
Έτσι Μίλησε ο Ζαρατούστρα;Friedrich Nietzsche;;9789609865326;9609865321;Πανοπτικόν;Germany;Europe;Greek;philosophy;;;Read;Piraeus Library
Complete Works of William Shakespeare;William Shakespeare;;9781853268953;185326895X;Wordsworth Editions;United Kingdom;Europe;English;theatre;;#theatre;Read;Piraeus Library
Σκακιστική Νουβέλα;Stefan Zweig;;9789602358696;;Γνώση;Austria;Europe;Greek;novella;;;Read;Piraeus Library
Γαλήνη;Ηλίας Βενέζης;;9789600501346;9600501343;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Zωή εν Tάφω, H;Στράτης Μυριβήλης;;9789600514803;9600514801;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Μαιτρ και η Μαργαρίτα, Ο;Mikhail Bulgakov;;9789603291909;9603291900;Γράμματα;Ukraine;Europe;Greek;novel;;;Read;Piraeus Library
Όπερα - Συνθέτες, έργα, ερμηνευτές;Andras Batta;;9783833125904;383312590x;Ελευθερουδάκης;Hungary;Europe;Greek;album;;#theatre;Read;Piraeus Library
Νταλί;Gilles N?ret;;9789602356883;960235688X;Taschen;France;Europe;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Λεονάρντο;Frank Z?llner;;9789602356951;9602356952;Taschen;;;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Μπέικον;Luigi Ficacci;;9789602356937;9602356936;Taschen;Italy;Europe;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Πόλοκ;Leonhard Emmerling;;9789602357118;9602357118;Taschen;;;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Γκωγκέν;Ingo F. Walther;;9789602357514;9602357517;Taschen;;;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Ντε Κίρικο;Magdalena Holzhey;;9789602357361;9602357363;Taschen;;;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Λεμπίτσκα;Gilles N?ret;;9789602357156;9602357150;Taschen;France;Europe;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Mποτέρο;Marianna Hanstein;;9789602356944;9602356944;Taschen;;;Greek;album;Taschen Artists;#art;Read;Piraeus Library
Δασκάλα με τα Χρυσά Μάτια, Η;Στράτης Μυριβήλης;;9789600501964;9600501963;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Γερτρούδη;Hermann Hesse;;9789600301021;9600301026;Καστανιώτης;Germany;Europe;Greek;novel;;;Read;Piraeus Library
Φόνισσα, H;Αλέξανδρος Παπαδιαμάντης;;9789602110287;9602110287;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Μανιφέστο του Κομμουνιστικού Κόμματος;Karl Marx, Friedrich Engels;;9789602247136;9602247134;Σύγχρονη Εποχή;Germany;Europe;Greek;politics;;;Read;Piraeus Library
Γράμμα στον Πατέρα;Franz Kafka;;;;Ελεύθερος Τύπος;Czech Republic (Czechia);Europe;Greek;biography;;;Read;Piraeus Library
Aθλιότητα του Aνθρώπου και ’λλες Σκέψεις, Η;Blaise Pascal;;9789609421041;9609421040;Το Ποντίκι;France;Europe;Greek;philosophy;;;Read;Piraeus Library
Μεγάλος Θυμός, Ο;Ντόρα Γιαννακοπούλου;;9789600316339;9600316333;Καστανιώτης;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αιολική Γη;Ηλίας Βενέζης;;9789600500691;960050069X;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Πιστή στον Έρωτα;Γρηγόριος Ξενόπουλος;;9789603020646;9603020648;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Mυθιστόρημα των Tεσσάρων, Tο;’γγελος Τερζάκης, Ηλίας Βενέζης, Μ.Καραγάτσης, Στράτης Μυριβήλης;;9789600500639;9600500630;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Eγώ, η Mάρθα Φρόυντ;Φωτεινή Τσαλίκογλου;;9789600328837;9600328838;Καστανιώτης;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Γρεναδιέρα, Η;Honore de Balzac;;9600101450;9600101450;Gutenberg;France;Europe;Greek;novel;;;Read;Piraeus Library
Δεν ήταν γραφτό;Γρηγόριος Ξενόπουλος;;9789603020233;9603020230;Γρηγόριος Ξενόπουλος;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Δίλημμα;Γρηγόριος Ξενόπουλος;;9789603020271;9603020273;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
H?tel du Lac;Anita Brookner;;9789607213204;9607213203;Ωκεανίδα;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Στη Σίκαλη, Στα Στάχια, Ο Πιάστης (Ο Φύλακας Στη Σίκαλη);Jerome David Salinger;;9789603295419;9603295418;Γράμματα;United States;North America;Greek;novel;;;Read;Piraeus Library
Ρενέ Λέυς;Victor Segalen;;9789602563076;;Εξάντας;France;Europe;Greek;novel;;;Read;Piraeus Library
’λικο Γράμμα, Το;Nathaniel Hawthorne;;9789602353639;9602353635;Γνώση;United States;North America;Greek;novel;;;Read;Piraeus Library
Διασταύρωση Μάγκμπι;Charles Dickens;;9786188340794;;Ποικίλη Στοά;United Kingdom;Europe;Greek;short story collection;;;Read;Piraeus Library
Αργώ, Τόμος 2ος;Γιώργος Θεοτοκάς;;9789600501476;9600501475;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Aίθουσα του θρόνου, H;Τάσσος Αθανασιάδης;;9789600504446;960050444X;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Οι Κερασιές θ' ανθίσουν και Φέτος;Μενέλαος Λουντέμης;;;;Δωρικός;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Θεοφανώ;Κώστας Κυριαζής;;9789600502466;9600502463;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αργώ, Τόμος 1ος;Γιώργος Θεοτοκάς;;9789600501469;9600501467;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Πριγκηπέσσα Ιζαμπώ, Η;’γγελος Τερζάκης;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Λευκή Φρουρά, Η;Mikhail Bulgakov;;9789602292884;9602292881;Βιβλιοπωλείο της Εστίας;Ukraine;Europe;Greek;novel;;;Read;Piraeus Library
Καίσαρας Μπιροτό;Honore de Balzac;;9789602619384;9602619384;Παπαδόπουλος;France;Europe;Greek;novel;;;Read;Piraeus Library
Τα Παιδιά της Νιόβης, Tόμος 4ος;Τάσσος Αθανασιάδης;;9789600506693;9600506698;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Αστραδενή;Ευγενία Φακίνου;;9789600400274;960040027X;Κέδρος;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Τα Παιδιά της Νιόβης, Tόμος 3ος;Τάσσος Αθανασιάδης;;9789600506686;960050668X;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
H Xαρισάμενη Eποχή (Οι Πανθέοι, Τόμος 1);Τάσσος Αθανασιάδης;;9789600504149;9600504148;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ψάθινα Καπέλα, Τα;Μαργαρίτα Λυμπεράκη;;9789600313833;9600313830;Καστανιώτης;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Η Κερκόπορτα (Οι Πανθέοι, Τόμος 3α) ;Τάσσος Αθανασιάδης;;9789600504163;9600504164;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Η Κερκόπορτα (Οι Πανθέοι, Τόμος 3β);Τάσσος Αθανασιάδης;;9789600504170;9600504172;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Μάρμω Πανθέου (Οι Πανθέοι, Τόμος 2);Τάσσος Αθανασιάδης;;9789600504156;9600504156;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Tα Παιδιά της Νιόβης, Τόμος 1ος;Τάσσος Αθανασιάδης;;9789600505887;9600505888;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Rudolf Nureyev, ένα φύλλο σημύδας;Βertrand Μeyer - Stabley;;9789606627491;9606627497;Ηλέκτρα;France;Europe;Greek;biography;;#dance;Read;Piraeus Library
’γνοια, Η;Milan Kundera;;9789600509885;9600509883;Βιβλιοπωλείο της Εστίας;Czech Republic (Czechia);Europe;Greek;novel;;;Read;Piraeus Library
Ζωή μου, Η;Isadora Duncan;;9789602110669;960211066X;Νεφέλη;United States;North America;Greek;biography;;#dance;Read;Piraeus Library
Τα Παιδιά της Νιόβης, Tόμος 2ος;Τάσσος Αθανασιάδης;;9789600505894;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novella;;;Read;Piraeus Library
Mεγάλη Aγάπη;Γρηγόριος Ξενόπουλος;;9789603020080;9603020087;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Λεωνής;Γιώργος Θεοτοκάς;;;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
’ρχοντας των Μυγών, O;William Golding;;9789603291084;;Γράμματα;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Θάνατος Στη Βενετία;Thomas Mann;;9789603291206;;Γράμματα;Germany;Europe;Greek;novel;;;Read;Piraeus Library
Ήρεμος Ντον, Ο;Mikhail Sholokhov;;;;Σταυρόπουλος;Russia;Europe;Greek;novel;;;Read;Piraeus Library
Η Φιλοσοφία στο Μπουντουάρ;Marquis de Sade;;9789602561218;9602561211;Εξάντας;France;Europe;Greek;novel;;;Read;Piraeus Library
Βροχοποιός, Ο;Hermann Hesse;;;;Νεφέλη;Germany;Europe;Greek;novel;;;Read;Piraeus Library
Oι Tελευταίοι Eγγονοί, B' Τόμος;Τάσσος Αθανασιάδης;;9789600501254;9600501254;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Οι Τελευταίοι Εγγονοί, Α' Τόμος;Τάσσος Αθανασιάδης;;9789600501247;9600501246;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Φτωχούλης του Θεού, Ο;Νίκος Καζαντζάκης;;;;Δίρφος;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Λυγερή, Η;Ανδρέας Καρκαβίτσας;;;;Ίδρυμα Κώστα και Ελένης Ουράνη;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Aγνή η Φράγκα, Β Τόμος;Κώστας Κυριαζής;;9789600501766;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Mενεξεδένια Πολιτεία, Η;’γγελος Τερζάκης;;9789600500738;9600500738;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Tαξίδι με τον Έσπερο;’γγελος Τερζάκης;;9789600502992;9600502994;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ζητιάνος, Ο;Ανδρέας Καρκαβίτσας;;9789602110324;9602110325;Νεφέλη;Greece;Europe;Greek;novella;;;Read;Piraeus Library
Δαιμόνιο, Το;Γιώργος Θεοτοκάς;;9789600500882;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Aγνή η Φράγκα, A Τόμος;Κostas Κyriazis;;9789600501759;9600501750;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Γαλάζιο Βιβλίο, Το;Στράτης Μυριβήλης;;9789600503210;;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;short story collection;;;Read;Piraeus Library
Αναφορά στον Γκρέκο;Νίκος Καζαντζάκης;;9789607948267;9607948262;Εκδόσεις Καζαντζάκη;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Κατάδικος;Κωνσταντίνος Θεοτόκης;;9789600504804;9600504806;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;novella;;;Read;Piraeus Library
’νεμοι;Ηλίας Βενέζης;;9789600502442;9600502447;Βιβλιοπωλείο της Εστίας;Greece;Europe;Greek;short story collection;;;Read;Piraeus Library
O Kόσμος κι ο Kοσμάς;Γρηγόριος Ξενόπουλος;;9789603020554;9603020559;Αδελφοί Βλάσση;Greece;Europe;Greek;novel;;;Read;Piraeus Library
Ταβέρνα της Τζαμάικα, Η;Daphne du Maurier;;9789602616185;;Παπαδόπουλος;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Illuminati;Dan Brown;;9789601408620;9601408622;Λιβάνης;United Kingdom;Europe;Greek;novel;;;Read;Piraeus Library
Τορτίλλα Φλατ;John Steinbeck;;;;Ευρωεκδοτική;United States;North America;Greek;novel;;;Read;Piraeus Library
Σουάνοι, Οι;Honore de Balzac;;;;Ηριδανός;France;Europe;Greek;novel;;;Read;Piraeus Library
Ιστορία του Γάτου που Έμαθε σ' ένα Γλάρο να Πετάει, Η;Luis Sepulveda;;9789607073365;;Opera;Chile;South America;Greek;novel;;;Read;Piraeus Library
Tirages et Restaurations de la Cinematique Francaise, II, 1987;;;;2900596076;La Cinematique Francaise;;;French;album;;#cinema;Read;Piraeus Library
Lucr?ce Borgia;Victor Hugo;;9782290335222;2290335223;J'AI LU;France;Europe;French;theatre;;;Read;Piraeus Library
Philosophie de La Vie Conjugale;Honore de Balzac;;9782070445189;2070445186;Gallimard;France;Europe;French;novella;;;Read;Piraeus Library
Hernani;Victor Hugo;;9782290075654;2290075655;J'AI LU;France;Europe;French;theatre;;;Read;Piraeus Library
G?n?alogie des personnages de La com?die humaine;;;9782759603541;2759603547;Paris Mus?es;;;French;album;;;Read;Piraeus Library
Fausse Maitresse;Honore de Balzac;;9782070437672;2070437671;Gallimard;France;Europe;French;novella;;;Read;Piraeus Library
Femme abandonn?e, La;Honore de Balzac;;9782072756689;2072756685;Gallimard;France;Europe;French;novella;;;Read;Piraeus Library
Dangers de l'Inconduite;Honore de Balzac;;9782070339884;2070339882;Gallimard;France;Europe;French;novella;;;Read;Piraeus Library
La Vendetta;Honore de Balzac;;9782072830907;2072830907;Gallimard;France;Europe;French;novella;;;Read;Piraeus Library
Μικρή Κυρία του Μεγάλου Σπιτιού, Η;Jack London;;9789602081457;9602081457;Ζαχαρόπουλος;United States;North America;Greek;novel;;;Read;Piraeus Library
Bίλα της Παρασκευής, Η;Alberto Moravia;;9789602081921;9602081929;Ζαχαρόπουλος;Italy;Europe;Greek;novel;;;Read;Piraeus Library
Ερωτικές Ιστορίες Καθημερινής Τρέλας;Charles Bukowski;;;;Οδυσσέας;United States;North America;Greek;short story collection;;;Read;Piraeus Library
Κάτω από τη Ρόδα;Hermann Hesse;;9789602081815;;Ζαχαρόπουλος;Germany;Europe;Greek;novel;;;Read;Piraeus Library
Μάρτιν Ήντεν;Jack London;;9789602080979;9602080973;Ζαχαρόπουλος;United States;North America;Greek;novel;;;Read;Piraeus Library
Έλλη Λαμπέτη;Φρέντυ Γερμανός;;9789600342727;9600342725;Καστανιώτης;Greece;Europe;Greek;biography;;#cinema, #theatre;Read;Piraeus Library
Ζητείται Ελπίς;Αντώνης Σαμαράκης;;9789600310511;9600310513;Καστανιώτης;Greece;Europe;Greek;short story collection;;;Read;Piraeus Library
"Φιλοσοφικά Διηγήματα (Αγαθούλης &amp; Ενζενύ)";Voltaire;;;;Ηριδανός;France;Europe;Greek;philosophy;;;Read;Piraeus Library
Μάτια Του Αιώνιου Αδελφού, Τα;Stefan Zweig;;9780008031411;;Κοροντζής;Austria;Europe;Greek;novel;;;Read;Piraeus Library
